"Year","Country.of.origin","Country.of.origin..ISO.","Country.of.asylum","Country.of.asylum..ISO.","Refugees.under.UNHCR.s.mandate","Asylum.seekers","IDPs.of.concern.to.UNHCR","Venezuelans.displaced.abroad","Stateless.persons","Others.of.concern"
2000,"Afghanistan","AFG","-","-",3587327,40290,758625,NA,0,100046
2000,"Iraq","IRQ","-","-",526165,40630,0,NA,0,13000
2000,"Somalia","SOM","-","-",475644,11971,18000,NA,0,2077
2000,"Sudan","SDN","-","-",494351,19094,0,NA,0,0
2000,"Syrian Arab Rep.","SYR","-","-",5868,3730,0,NA,0,0
2001,"Afghanistan","AFG","-","-",3809763,30782,1200000,NA,0,100000
2001,"Iraq","IRQ","-","-",530508,34826,0,NA,0,13000
2001,"Somalia","SOM","-","-",440120,16195,0,NA,0,2000
2001,"Sudan","SDN","-","-",489931,19824,0,NA,0,0
2001,"Syrian Arab Rep.","SYR","-","-",4861,3853,0,NA,0,0
2002,"Afghanistan","AFG","-","-",2510294,26687,665156,NA,0,100012
2002,"Iraq","IRQ","-","-",422504,29641,0,NA,0,13000
2002,"Somalia","SOM","-","-",432304,13945,0,NA,0,2000
2002,"Sudan","SDN","-","-",508863,13999,0,NA,0,0
2002,"Syrian Arab Rep.","SYR","-","-",18908,4264,0,NA,0,0
2003,"Afghanistan","AFG","-","-",2136039,26308,184269,NA,0,100000
2003,"Iraq","IRQ","-","-",368578,31591,0,NA,0,18476
2003,"Somalia","SOM","-","-",402329,14772,0,NA,0,2000
2003,"Sudan","SDN","-","-",606231,6675,0,NA,0,0
2003,"Syrian Arab Rep.","SYR","-","-",20817,3548,0,NA,0,0
2004,"Afghanistan","AFG","-","-",2414460,16983,159549,NA,0,100062
2004,"Iraq","IRQ","-","-",311890,30619,0,NA,0,16139
2004,"Somalia","SOM","-","-",389287,20517,0,NA,0,2010
2004,"Sudan","SDN","-","-",730631,11950,662302,NA,0,0
2004,"Syrian Arab Rep.","SYR","-","-",21431,3781,0,NA,0,0
2005,"Afghanistan","AFG","-","-",2166139,14023,142505,NA,0,100356
2005,"Iraq","IRQ","-","-",262302,34438,1200000,NA,0,16273
2005,"Somalia","SOM","-","-",395544,30466,400000,NA,0,2024
2005,"Sudan","SDN","-","-",693621,13461,841946,NA,0,0
2005,"Syrian Arab Rep.","SYR","-","-",16395,6992,0,NA,0,0
2006,"Afghanistan","AFG","-","-",2107510,14959,129310,NA,0,100372
2006,"Iraq","IRQ","-","-",1450909,47294,1834368,NA,0,16123
2006,"Somalia","SOM","-","-",464026,22010,400000,NA,0,2000
2006,"Sudan","SDN","-","-",686297,16629,1325235,NA,0,0
2006,"Syrian Arab Rep.","SYR","-","-",12328,7493,0,NA,0,0
2007,"Afghanistan","AFG","-","-",3057655,16077,153718,NA,0,411
2007,"Iraq","IRQ","-","-",2309247,27667,2385865,NA,0,20
2007,"Somalia","SOM","-","-",457345,16424,1000000,NA,0,0
2007,"Sudan","SDN","-","-",523029,19406,1250000,NA,0,0
2007,"Syrian Arab Rep.","SYR","-","-",13684,6849,0,NA,0,0
2008,"Afghanistan","AFG","-","-",2833117,23177,230670,NA,0,2101
2008,"Iraq","IRQ","-","-",1903517,25654,2647251,NA,0,7768
2008,"Somalia","SOM","-","-",561146,20519,1277200,NA,0,0
2008,"Sudan","SDN","-","-",419249,18073,1201040,NA,0,450
2008,"Syrian Arab Rep.","SYR","-","-",15206,5978,0,NA,0,0
2009,"Afghanistan","AFG","-","-",2887114,30406,297129,NA,0,1479
2009,"Iraq","IRQ","-","-",1785215,22372,1552003,NA,0,6704
2009,"Somalia","SOM","-","-",678297,21059,1550000,NA,0,0
2009,"Sudan","SDN","-","-",368178,16901,1034140,NA,0,0
2009,"Syrian Arab Rep.","SYR","-","-",17915,5559,0,NA,0,0
2010,"Afghanistan","AFG","-","-",3054699,37101,351907,NA,0,839323
2010,"Iraq","IRQ","-","-",1683576,29939,1343568,NA,0,6709
2010,"Somalia","SOM","-","-",770143,22811,1463780,NA,0,0
2010,"Sudan","SDN","-","-",387266,23699,1624100,NA,0,0
2010,"Syrian Arab Rep.","SYR","-","-",18451,9739,0,NA,0,0
2011,"Afghanistan","AFG","-","-",2664423,39198,447547,NA,0,952531
